,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5
circum,,,,,,,,,,
33.5,41,41,40,40,40,40,40,39,39,39
33.0,40,40,40,40,39,39,39,39,39,38
32.5,40,40,39,39,39,39,38,38,38,38
32.0,39,39,39,39,38,38,38,38,37,37
31.5,39,38,38,38,38,38,37,37,37,37
31.0,38,38,38,37,37,37,37,36,36,36
30.5,37,37,37,37,37,36,36,36,36,35
30.0,37,37,36,36,36,36,35,35,35,35
29.5,36,36,36,36,35,35,35,35,34,34
29.0,36,35,35,35,35,34,34,34,34,34
28.5,35,35,34,34,34,34,34,33,33,33
28.0,34,34,34,34,33,33,33,33,32,32
27.5,34,33,33,33,33,32,32,32,32,32
27.0,33,33,32,32,32,32,32,31,31,31
26.5,32,32,32,32,31,31,31,31,30,30
26.0,31,31,31,31,31,30,30,30,30,29
25.5,31,31,30,30,30,30,29,29,29,29
25.0,30,30,30,29,29,29,29,28,28,28
24.5,29,29,29,29,28,28,28,28,27,27
24.0,28,28,28,28,28,27,27,27,27,26
23.5,28,27,27,27,27,27,26,26,26,26
23.0,27,27,26,26,26,26,26,25,25,25
22.5,26,26,26,25,25,25,25,24,24,24
22.0,25,25,25,25,24,24,24,24,23,23
21.5,24,24,24,24,23,23,23,23,23,22
21.0,24,23,23,23,23,22,22,22,22,21
20.5,23,22,22,22,22,21,21,21,21,21
20.0,22,21,21,21,21,21,20,20,20,20
19.5,21,21,20,20,20,20,19,19,19,19
19.0,20,20,19,19,19,19,18,18,18,18
18.5,19,19,18,18,18,18,17,17,17,17
18.0,18,18,17,17,17,17,16,16,16,16
17.5,17,16,16,16,16,16,15,15,15,15
17.0,16,15,15,15,15,14,14,14,14,14
16.5,14,14,14,14,14,13,13,13,13,12
16.0,13,13,13,13,12,12,12,12,12,11
15.5,12,12,12,11,11,11,11,11,10,10
15.0,11,11,10,10,10,10,10,9,9,9
14.5,10,9,9,9,9,9,8,8,8,8
