,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
pushup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
49,70,70,70,70,70,70,70,70,70,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
48,70,70,70,70,70,70,70,70,70,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
47,70,70,70,70,69,69,69,69,69,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
46,70,70,70,70,68,68,68,68,68,66,66,66,66,66,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
45,70,70,70,70,67,67,67,67,67,65,65,65,65,65,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
44,70,70,70,70,66,66,66,66,66,64,64,64,64,64,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
43,70,70,70,70,65,65,65,65,65,63,63,63,63,63,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
42,70,70,70,70,64,64,64,64,64,63,63,63,63,63,66,66,66,66,66,69,69,69,69,69,70,70,70,70,70,70,70,70,70,70,70
41,69,69,69,69,63,63,63,63,63,62,62,62,62,62,65,65,65,65,65,68,68,68,68,68,70,70,70,70,70,70,70,70,70,70,70
40,67,67,67,67,62,62,62,62,62,61,61,61,61,61,64,64,64,64,64,67,67,67,67,67,69,69,69,69,69,70,70,70,70,70,70
39,66,66,66,66,61,61,61,61,61,60,60,60,60,60,63,63,63,63,63,66,66,66,66,66,68,68,68,68,68,69,69,69,69,69,70
38,65,65,65,65,60,60,60,60,60,59,59,59,59,59,62,62,62,62,62,65,65,65,65,65,67,67,67,67,67,68,68,68,68,68,70
37,63,63,63,63,59,59,59,59,59,58,58,58,58,58,61,61,61,61,61,64,64,64,64,64,66,66,66,66,66,67,67,67,67,67,69
36,62,62,62,62,58,58,58,58,58,57,57,57,57,57,60,60,60,60,60,63,63,63,63,63,65,65,65,65,65,66,66,66,66,66,68
35,61,61,61,61,57,57,57,57,57,56,56,56,56,56,59,59,59,59,59,62,62,62,62,62,64,64,64,64,64,65,65,65,65,65,67
34,60,60,60,60,56,56,56,56,56,55,55,55,55,55,58,58,58,58,58,61,61,61,61,61,63,63,63,63,63,64,64,64,64,64,66
33,58,58,58,58,55,55,55,55,55,54,54,54,54,54,57,57,57,57,57,60,60,60,60,60,62,62,62,62,62,63,63,63,63,63,65
32,57,57,57,57,54,54,54,54,54,53,53,53,53,53,56,56,56,56,56,59,59,59,59,59,61,61,61,61,61,62,62,62,62,62,64
31,56,56,56,56,53,53,53,53,53,52,52,52,52,52,55,55,55,55,55,58,58,58,58,58,60,60,60,60,60,61,61,61,61,61,63
30,54,54,54,54,52,52,52,52,52,51,51,51,51,51,54,54,54,54,54,57,57,57,57,57,59,59,59,59,59,60,60,60,60,60,61
29,53,53,53,53,51,51,51,51,51,50,50,50,50,50,53,53,53,53,53,56,56,56,56,56,58,58,58,58,58,59,59,59,59,59,60
28,52,52,52,52,50,50,50,50,50,49,49,49,49,49,52,52,52,52,52,54,54,54,54,54,57,57,57,57,57,58,58,58,58,58,59
27,50,50,50,50,49,49,49,49,49,48,48,48,48,48,51,51,51,51,51,53,53,53,53,53,56,56,56,56,56,57,57,57,57,57,58
26,49,49,49,49,48,48,48,48,48,48,48,48,48,48,50,50,50,50,50,52,52,52,52,52,54,54,54,54,54,56,56,56,56,56,57
25,48,48,48,48,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,51,51,51,51,51,53,53,53,53,53,54,54,54,54,54,56
24,47,47,47,47,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,50,50,50,50,50,52,52,52,52,52,53,53,53,53,53,55
23,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,49,49,49,49,49,51,51,51,51,51,52,52,52,52,52,54
22,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,48,48,48,48,48,50,50,50,50,50,51,51,51,51,51,53
21,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,45,45,45,47,47,47,47,47,49,49,49,49,49,50,50,50,50,50,52
